"Dato/klokkeslett","Gjennomsnittsforbruk strøm (kWh/100 km)","Kjørestrekning (km)","Kjøretid","Gjennomsnittshastighet (km/t)"
"2020-10-28T16:30:48+01:00","35,6","10","0:18","33"
"2020-10-28T12:20:56+01:00","44,8","3","0:08","22"
"2020-10-28T08:17:04+01:00","24,8","8","0:15","35"
"2020-10-27T22:54:22+01:00","36,2","29","0:57","31"
"2020-10-27T08:14:00+01:00","23,7","9","0:14","40"
"2020-10-26T21:22:50+01:00","37,0","15","0:28","32"
"2020-10-25T18:14:35+01:00","19,6","142","2:16","63"
"2020-10-24T13:54:33+02:00","28,1","34","0:56","37"
"2020-10-23T20:15:55+02:00","27,5","140","2:03","68"
"2020-10-22T16:14:11+02:00","34,6","9","0:18","33"
"2020-10-22T08:21:31+02:00","26,6","9","0:14","38"
"2020-10-21T23:00:53+02:00","51,9","7","0:18","23"
"2020-10-21T16:59:04+02:00","25,2","42","0:56","45"
"2020-10-21T08:22:51+02:00","24,9","9","0:15","37"
"2020-10-20T22:41:36+02:00","42,2","4","0:11","24"
"2020-10-20T15:58:37+02:00","34,7","10","0:16","36"
"2020-10-20T08:20:40+02:00","23,0","9","0:16","35"
"2020-10-19T21:46:02+02:00","36,9","19","0:32","36"
"2020-10-18T19:34:31+02:00","23,4","155","3:01","51"
"2020-10-16T20:20:02+02:00","27,7","149","2:34","58"
"2020-10-16T12:57:19+02:00","29,0","12","0:19","38"
"2020-10-15T16:03:59+02:00","42,2","3","0:11","20"
"2020-10-15T08:18:28+02:00","36,2","3","0:08","26"
"2020-10-14T22:34:22+02:00","30,6","77","1:31","51"
"2020-10-14T08:15:28+02:00","27,2","9","0:14","37"
"2020-10-13T19:21:53+02:00","34,4","39","1:09","34"
"2020-10-13T08:20:19+02:00","29,4","9","0:14","39"
"2020-10-12T21:49:42+02:00","33,5","9","0:12","44"
"2020-10-12T19:14:32+02:00","44,2","13","0:39","21"
"2020-10-12T08:17:11+02:00","38,2","3","0:11","21"
"2020-10-11T19:52:20+02:00","22,5","138","2:28","56"
"2020-10-11T13:59:04+02:00","49,8","6","0:13","29"
"2020-10-10T19:00:32+02:00","32,6","42","1:01","41"
"2020-10-09T17:27:25+02:00","33,5","33","0:54","37"
"2020-10-07T11:09:52+02:00","31,3","33","0:45","45"
"2020-10-06T17:31:03+02:00","33,0","32","0:54","37"
"2020-10-05T19:20:47+02:00","29,8","25","0:34","45"
"2020-10-04T19:20:21+02:00","27,9","144","2:09","67"
"2020-10-04T14:15:40+02:00","19,7","6","0:08","42"
"2020-10-03T19:06:02+02:00","28,2","18","0:28","40"
"2020-10-02T17:51:14+02:00","27,6","22","0:37","36"
"2020-10-02T08:17:12+02:00","34,6","3","0:09","24"
"2020-10-01T20:15:28+02:00","32,5","28","0:46","36"
"2020-10-01T08:15:26+02:00","37,8","3","0:09","21"
"2020-09-30T19:36:36+02:00","35,6","4","0:12","22"
"2020-09-30T15:58:45+02:00","32,4","9","0:18","32"
"2020-09-30T08:19:43+02:00","24,9","9","0:15","36"
"2020-09-29T21:00:14+02:00","35,8","9","0:19","30"
"2020-09-28T19:14:28+02:00","26,6","35","1:00","35"
"2020-09-27T16:52:57+02:00","29,6","6","0:20","21"
"2020-09-27T09:00:02+02:00","82,2","2","0:06","23"
"2020-09-26T21:39:53+02:00","37,2","4","0:09","29"
"2020-09-26T18:48:20+02:00","29,8","19","0:37","31"
"2020-09-26T15:15:02+02:00","57,3","6","0:16","25"
"2020-09-26T09:19:08+02:00","40,1","4","0:11","24"
"2020-09-24T22:50:50+02:00","30,2","10","0:21","31"
"2020-09-24T15:45:08+02:00","41,1","3","0:08","26"
"2020-09-23T22:25:59+02:00","39,3","9","0:15","36"
"2020-09-22T19:28:20+02:00","36,4","15","0:28","32"
"2020-09-21T18:11:46+02:00","33,3","26","0:48","33"
"2020-09-20T19:51:59+02:00","26,4","232","4:09","56"
"2020-09-19T19:40:23+02:00","39,0","8","0:11","46"
"2020-09-19T17:16:39+02:00","26,4","51","0:58","53"
"2020-09-18T20:31:57+02:00","37,5","10","0:23","26"
"2020-09-17T20:12:07+02:00","35,6","8","0:17","30"
"2020-09-16T20:53:34+02:00","41,7","9","0:20","27"
"2020-09-15T19:28:31+02:00","38,2","9","0:21","28"
"2020-09-14T18:46:22+02:00","28,8","29","0:42","43"
"2020-09-13T19:12:54+02:00","17,4","138","2:07","65"
"2020-09-13T15:03:49+02:00","30,8","11","0:15","43"
"2020-09-13T12:10:52+02:00","25,6","11","0:15","44"
"2020-09-12T19:52:53+02:00","25,0","37","0:50","44"
"2020-09-12T15:56:35+02:00","26,0","57","1:31","38"
"2020-09-11T19:05:15+02:00","29,2","138","2:20","59"
"2020-09-08T19:20:27+02:00","33,1","15","0:28","32"
"2020-09-06T19:29:30+02:00","19,4","138","2:16","61"
"2020-09-06T14:48:08+02:00","30,2","52","2:22","22"
"2020-09-05T19:21:42+02:00","22,9","46","1:00","47"
"2020-09-05T13:40:43+02:00","26,6","50","1:06","46"
"2020-09-04T19:38:27+02:00","26,8","140","2:49","50"
"2020-09-03T20:26:17+02:00","18,7","138","1:58","70"
"2020-09-03T13:21:12+02:00","23,5","61","1:09","53"
"2020-09-02T22:53:08+02:00","28,0","146","2:15","65"
"2020-09-01T18:40:15+02:00","24,8","29","0:35","51"
"2020-08-31T19:52:04+02:00","31,0","14","0:50","18"
"2020-08-30T20:05:43+02:00","20,2","146","2:23","61"
"2020-08-29T15:39:24+02:00","27,8","64","1:48","36"
"2020-08-28T19:49:27+02:00","27,2","138","2:08","65"
"2020-08-26T20:25:04+02:00","34,1","10","0:22","28"
"2020-08-25T21:55:47+02:00","31,6","9","0:15","35"
"2020-08-25T18:12:23+02:00","40,1","4","0:13","22"
"2020-08-24T19:01:39+02:00","29,8","24","1:10","21"
"2020-08-23T20:21:06+02:00","21,1","138","2:01","69"
